Half FOV	Image Height(Y')	Optical Distortion(%)
51.7	1.28904000 	-19.9
51.8	1.29195000 	-20.0
51.9	1.29486200 	-20.1
52.0	1.29777400 	-20.2
52.1	1.30068900 	-20.3
52.2	1.30360400 	-20.4
52.3	1.30652100 	-20.5
52.4	1.30943900 	-20.6
52.5	1.31235800 	-20.7
52.6	1.31527900 	-20.8
52.7	1.31820100 	-20.9
52.8	1.32112400 	-21.1
52.9	1.32404900 	-21.2
53.0	1.32697400 	-21.3
53.1	1.32990100 	-21.4
53.2	1.33283000 	-21.5
53.3	1.33575900 	-21.6
53.4	1.33869000 	-21.7
53.5	1.34162200 	-21.8
53.6	1.34455500 	-22.0
53.7	1.34749000 	-22.1
53.8	1.35042500 	-22.2
53.9	1.35336200 	-22.3
54.0	1.35630000 	-22.4
54.1	1.35924000 	-22.5
54.2	1.36218000 	-22.7
54.3	1.36512200 	-22.8
54.4	1.36806500 	-22.9
54.5	1.37100900 	-23.0
54.6	1.37395400 	-23.1
54.7	1.37690000 	-23.3
54.8	1.37984800 	-23.4
54.9	1.38279700 	-23.5
55.0	1.38574600 	-23.6
55.1	1.38869700 	-23.7
55.2	1.39165000 	-23.9
55.3	1.39460300 	-24.0
55.4	1.39755700 	-24.1
55.5	1.40051300 	-24.2
55.6	1.40346900 	-24.3
55.7	1.40642700 	-24.5
55.8	1.40938600 	-24.6
55.9	1.41234600 	-24.7
56.0	1.41530700 	-24.8
56.1	1.41826900 	-25.0
56.2	1.42123200 	-25.1
56.3	1.42419600 	-25.2
56.4	1.42716100 	-25.4
56.5	1.43012800 	-25.5
56.6	1.43309500 	-25.6
56.7	1.43606300 	-25.7
56.8	1.43903300 	-25.9
56.9	1.44200400 	-26.0
57.0	1.44497500 	-26.1
57.1	1.44794800 	-26.3
57.2	1.45092100 	-26.4
57.3	1.45389600 	-26.5
57.4	1.45687200 	-26.7
57.5	1.45984800 	-26.8
57.6	1.46282600 	-26.9
57.7	1.46580500 	-27.1
57.8	1.46878500 	-27.2
57.9	1.47176500 	-27.3
58.0	1.47474700 	-27.5
58.1	1.47773000 	-27.6
58.2	1.48071300 	-27.7
58.3	1.48369800 	-27.9
58.4	1.48668400 	-28.0
58.5	1.48967000 	-28.1
58.6	1.49265800 	-28.3
58.7	1.49564600 	-28.4
58.8	1.49863600 	-28.5
58.9	1.50162600 	-28.7
59.0	1.50461800 	-28.8
59.1	1.50761000 	-29.0
59.2	1.51060300 	-29.1
59.3	1.51359700 	-29.2
59.4	1.51659300 	-29.4
59.5	1.51958900 	-29.5
59.6	1.52258600 	-29.7
59.7	1.52558300 	-29.8
59.8	1.52858200 	-30.0
59.9	1.53158200 	-30.1
60.0	1.53458300 	-30.3
60.1	1.53758400 	-30.4
60.2	1.54058700 	-30.5
60.3	1.54359000 	-30.7
60.4	1.54659400 	-30.8
60.5	1.54959900 	-31.0
60.6	1.55260500 	-31.1
60.7	1.55561200 	-31.3
60.8	1.55862000 	-31.4
60.9	1.56162800 	-31.6
61.0	1.56463800 	-31.7
61.1	1.56764800 	-31.9
61.2	1.57066000 	-32.0
61.3	1.57367200 	-32.2
61.4	1.57668500 	-32.3
61.5	1.57969900 	-32.5
61.6	1.58271300 	-32.6
61.7	1.58572900 	-32.8
61.8	1.58874500 	-32.9
61.9	1.59176300 	-33.1
62.0	1.59478100 	-33.2
62.1	1.59780000 	-33.4
62.2	1.60082000 	-33.6
62.3	1.60384000 	-33.7
62.4	1.60686200 	-33.9
62.5	1.60988400 	-34.0
62.6	1.61290700 	-34.2
62.7	1.61593100 	-34.3
62.8	1.61895600 	-34.5
62.9	1.62198200 	-34.7
63.0	1.62500800 	-34.8
63.1	1.62803600 	-35.0
63.2	1.63106400 	-35.1
63.3	1.63409300 	-35.3
63.4	1.63712300 	-35.5
63.5	1.64015300 	-35.6
63.6	1.64318500 	-35.8
63.7	1.64621700 	-35.9
63.8	1.64925000 	-36.1
63.9	1.65228400 	-36.3
64.0	1.65531900 	-36.4
64.1	1.65835500 	-36.6
64.2	1.66139100 	-36.8
64.3	1.66442800 	-36.9
64.4	1.66746600 	-37.1
64.5	1.67050500 	-37.3
64.6	1.67354400 	-37.4
64.7	1.67658500 	-37.6
64.8	1.67962600 	-37.8
64.9	1.68266800 	-37.9
65.0	1.68571100 	-38.1
65.1	1.68875500 	-38.3
65.2	1.69179900 	-38.5
65.3	1.69484500 	-38.6
65.4	1.69789100 	-38.8
65.5	1.70093800 	-39.0
65.6	1.70398500 	-39.1
65.7	1.70703400 	-39.3
65.8	1.71008300 	-39.5
65.9	1.71313300 	-39.7
66.0	1.71618400 	-39.8
66.1	1.71923600 	-40.0
66.2	1.72228800 	-40.2
66.3	1.72534200 	-40.4
66.4	1.72839600 	-40.6
66.5	1.73145100 	-40.7
66.6	1.73450700 	-40.9
66.7	1.73756300 	-41.1
66.8	1.74062100 	-41.3
66.9	1.74367900 	-41.4
67.0	1.74673800 	-41.6
67.1	1.74979800 	-41.8
67.2	1.75285900 	-42.0
67.3	1.75592000 	-42.2
67.4	1.75898300 	-42.4
67.5	1.76204600 	-42.5
67.6	1.76511000 	-42.7
67.7	1.76817500 	-42.9
67.8	1.77124000 	-43.1
67.9	1.77430700 	-43.3
68.0	1.77737400 	-43.5
68.1	1.78044200 	-43.7
68.2	1.78351100 	-43.8
68.3	1.78658100 	-44.0
68.4	1.78965100 	-44.2
68.5	1.79272300 	-44.4
68.6	1.79579500 	-44.6
68.7	1.79886800 	-44.8
68.8	1.80194200 	-45.0
68.9	1.80501700 	-45.2
69.0	1.80809200 	-45.4
69.1	1.81116900 	-45.6
69.2	1.81424600 	-45.7
69.3	1.81732400 	-45.9
69.4	1.82040300 	-46.1
69.5	1.82348300 	-46.3
69.6	1.82656400 	-46.5
69.7	1.82964600 	-46.7
69.8	1.83272800 	-46.9
69.9	1.83581100 	-47.1
70.0	1.83889500 	-47.3
70.1	1.84198000 	-47.5
70.2	1.84506600 	-47.7
70.3	1.84815300 	-47.9
70.4	1.85124100 	-48.1
70.5	1.85432900 	-48.3
70.6	1.85741900 	-48.5
70.7	1.86050900 	-48.7
70.8	1.86360000 	-48.9
70.9	1.86669200 	-49.1
71.0	1.86978500 	-49.3
71.1	1.87287900 	-49.5
71.2	1.87597400 	-49.7
71.3	1.87906900 	-49.9
71.4	1.88216600 	-50.1
71.5	1.88526300 	-50.3
71.6	1.88836200 	-50.5
71.7	1.89146100 	-50.8
71.8	1.89456100 	-51.0
71.9	1.89766200 	-51.2
72.0	1.90076400 	-51.4
72.1	1.90386700 	-51.6
72.2	1.90697100 	-51.8
72.3	1.91007600 	-52.0
72.4	1.91318200 	-52.2
72.5	1.91628800 	-52.4
72.6	1.91939600 	-52.6
72.7	1.92250400 	-52.9
72.8	1.92561400 	-53.1
72.9	1.92872400 	-53.3
73.0	1.93183600 	-53.5
73.1	1.93494800 	-53.7
73.2	1.93806100 	-53.9
73.3	1.94117500 	-54.2
73.4	1.94429100 	-54.4
73.5	1.94740700 	-54.6
73.6	1.95052400 	-54.8
73.7	1.95364200 	-55.0
73.8	1.95676100 	-55.2
73.9	1.95988100 	-55.5
74.0	1.96300200 	-55.7
74.1	1.96612400 	-55.9
74.2	1.96924700 	-56.1
74.3	1.97237100 	-56.4
74.4	1.97549600 	-56.6
74.5	1.97862200 	-56.8
74.6	1.98174900 	-57.0
74.7	1.98487700 	-57.3
74.8	1.98800600 	-57.5
74.9	1.99113600 	-57.7
75.0	1.99426700 	-57.9
75.1	1.99739900 	-58.2
75.2	2.00053200 	-58.4
75.3	2.00366600 	-58.6
75.4	2.00680100 	-58.8
75.5	2.00993800 	-59.1
75.6	2.01307500 	-59.3
75.7	2.01621300 	-59.5
75.8	2.01935200 	-59.8
75.9	2.02249200 	-60.0
76.0	2.02563400 	-60.2
76.1	2.02877600 	-60.5
76.2	2.03191900 	-60.7
76.3	2.03506400 	-60.9
76.4	2.03820900 	-61.2
76.5	2.04135600 	-61.4
76.6	2.04450400 	-61.7
76.7	2.04765200 	-61.9
76.8	2.05080200 	-62.1
76.9	2.05395300 	-62.4
77.0	2.05710500 	-62.6
77.1	2.06025800 	-62.9
77.2	2.06341200 	-63.1
77.3	2.06656700 	-63.3
77.4	2.06972300 	-63.6
77.5	2.07288000 	-63.8
77.6	2.07603800 	-64.1
77.7	2.07919800 	-64.3
77.8	2.08235800 	-64.6
77.9	2.08552000 	-64.8
78.0	2.08868300 	-65.0
78.1	2.09184600 	-65.3
78.2	2.09501100 	-65.5
78.3	2.09817700 	-65.8
78.4	2.10134400 	-66.0
78.5	2.10451200 	-66.3
78.6	2.10768200 	-66.5
78.7	2.11085200 	-66.8
78.8	2.11402300 	-67.0
78.9	2.11719600 	-67.3
79.0	2.12037000 	-67.6
79.1	2.12354400 	-67.8
79.2	2.12672000 	-68.1
79.3	2.12989700 	-68.3
79.4	2.13307500 	-68.6
79.5	2.13625400 	-68.8
79.6	2.13943500 	-69.1
79.7	2.14261600 	-69.3
79.8	2.14579900 	-69.6
79.9	2.14898200 	-69.9
80.0	2.15216700 	-70.1
80.1	2.15535300 	-70.4
80.2	2.15854000 	-70.6
80.3	2.16172800 	-70.9
80.4	2.16491700 	-71.2
80.5	2.16810700 	-71.4
80.6	2.17129900 	-71.7
80.7	2.17449100 	-72.0
80.8	2.17768500 	-72.2
80.9	2.18088000 	-72.5
81.0	2.18407600 	-72.8
81.1	2.18727300 	-73.0
81.2	2.19047100 	-73.3
81.3	2.19367000 	-73.6
81.4	2.19687000 	-73.8
81.5	2.20007100 	-74.1
81.6	2.20327400 	-74.4
81.7	2.20647700 	-74.7
81.8	2.20968200 	-74.9
81.9	2.21288800 	-75.2
82.0	2.21609500 	-75.5
82.1	2.21930300 	-75.8
82.2	2.22251200 	-76.0
82.3	2.22572200 	-76.3
82.4	2.22893300 	-76.6
82.5	2.23214500 	-76.9
82.6	2.23535900 	-77.1
82.7	2.23857300 	-77.4
82.8	2.24178900 	-77.7
82.9	2.24500500 	-78.0
83.0	2.24822300 	-78.3
83.1	2.25144200 	-78.6
83.2	2.25466100 	-78.8
83.3	2.25788200 	-79.1
83.4	2.26110400 	-79.4
83.5	2.26432700 	-79.7
83.6	2.26755100 	-80.0
83.7	2.27077600 	-80.3
83.8	2.27400200 	-80.6
83.9	2.27722900 	-80.8
84.0	2.28045700 	-81.1
84.1	2.28368600 	-81.4
84.2	2.28691600 	-81.7
84.3	2.29014700 	-82.0
84.4	2.29338000 	-82.3
84.5	2.29661300 	-82.6
84.6	2.29984700 	-82.9
84.7	2.30308200 	-83.2
84.8	2.30631800 	-83.5
84.9	2.30955500 	-83.8
85.0	2.31279300 	-84.1
85.1	2.31603200 	-84.4
85.2	2.31927200 	-84.7
85.3	2.32251300 	-85.0
85.4	2.32575400 	-85.3
85.5	2.32899700 	-85.6
85.6	2.33224100 	-85.9
85.7	2.33548500 	-86.2
85.8	2.33873100 	-86.5
85.9	2.34197700 	-86.8
86.0	2.34522400 	-87.1
86.1	2.34847200 	-87.4
86.2	2.35172100 	-87.7
86.3	2.35497100 	-88.0
86.4	2.35822200 	-88.3
86.5	2.36147300 	-88.6
86.6	2.36472600 	-88.9
86.7	2.36797900 	-89.3
